Fonction;Expérience fonction;Niveau Etudes;Structure;Secteur Activité;Taille Société;Nbre dossiers gérés mensuellement;Paie internalisée ou externalisée;Nbre Bulletins Produits;Nbre Bulletins Supervisés;Nbre de CCN;Management;Volume de paies supervisées;Nbre de personnes supervisées;Quelle est votre expérience totale ?;Combien de jours de télétravail avez vous par semaine ?;Rémunération brute;Avez vous primes et avantages salariaux (hors légal) ?;Anglais dans votre quotidien pro ?;Dans quel département travaillez vous ?;Quel est votre sexe ?;Quelle est votre tranche d'âge ?;Poste;Localisation
Gestionnaire Paie;1 à 3 ans;Bac+5;Entreprise;BTP / Travaux / Construction;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;1 à 3 ans;2;38000;Oui;Non;92;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Entreprise;Etudes / Conseils;2500 à 5000;NC;Internalisée (tout est géré en interne);151 à 300;NC;4 à 6;Non;NC;NC;4 à 7 ans;2;36000;Oui;Non;972;Femme;46 à 55 ans;Gestionnaire Paie;Hors IDF
Responsable Paie Adjoint(e);1 à 3 ans;Bac+5;Entreprise;Travail temporaire;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;15 à 20 ans;2;44500;Oui;Non;75;Femme;36 à 45 ans;Responsable Adjoint Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Entreprise;Luxe;1000 à 2500;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Non;NC;NC;4 à 7 ans;2;43100;Non;Oui, écrit et oral;75;Homme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Cabinet d'Expertise Comptable;NC;5001 à 10 000;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;6 à 10;Non;NC;NC;4 à 7 ans;2;29500;Oui;Non;45;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Société d'externalisation de paies;NC;Moins de 50;21 à 40;Internalisée (tout est géré en interne);151 à 300;NC;4 à 6;Non;NC;NC;1 à 3 ans;2;30000;Non;Non;92;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie & SIRH;4 à 7 ans;Bac+2;Entreprise;Associatif;1000 à 2500;NC;Internalisée (tout est géré en interne);701;NC;1;Oui;501 à 1 500;2 à 5;8 à 12 ans;2;60000;Oui;Non;75;Femme;36 à 45 ans;Responsable Paie;IDF
Responsable Paie;4 à 7 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;91;Internalisée (tout est géré en interne);501 à 700;NC;10;Non;NC;NC;15 à 20 ans;5;50000;Oui;Non;34;Homme;46 à 55 ans;Responsable Paie;Hors IDF
Responsable Paie;1 à 3 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Internalisée (tout est géré en interne);301 à 500;NC;10;Oui;- de 500;2 à 5;15 à 20 ans;2;40000;Oui;Oui, écrit;33;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Responsable Paie;1 à 3 ans;Bac+3;Société d'externalisation de paies;NC;Moins de 50;11 à 20;Internalisée (tout est géré en interne);501 à 700;NC;10;Oui;3 001 à 5 000;6 à 10;8 à 12 ans;1;42000;Oui;Non;59;Femme;26 à 35 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;BTP / Travaux / Construction;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;4 à 7 ans;1;42000;Oui;Oui, écrit et oral;77;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Informatique / Télécoms;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;4 à 6;Non;NC;NC;4 à 7 ans;3;36500;Oui;Oui, écrit;11;Homme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Responsable Paie & SIRH;4 à 7 ans;Bac+2;Entreprise;Commerce / Négoce / Distribution;251 à 1000;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Oui;501 à 1 500;6 à 10;+ de 21 ans;1;47840;Oui;Non;69;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Entreprise;Santé - Etablissements Hospitaliers;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;0;36000;Non;Non;91;Homme;26 à 35 ans;Gestionnaire Paie;IDF
